"","cbsa","id2","treatment","rent00","hinc00","pnhwht12","pnhblk12","phisp12","ppov12","punemp12","hinc12","hincb12","hincw12","phs12","pcol12","pown12","mhmval12","Treated","Control"
"22051027810","35380",22051027810,0,79,44701,9.979999542,68.44000244,12.68999958,10.27999973,6.929999828,67321,69787,63750,46.66999817,17.09000015,80.81999969,151000,0,1
"22051027811","35380",22051027811,0,233,46150,5.860000134,88.76999664,2.349999905,12.69999981,5.889999866,49688,51000,28846,49.36000061,20.51000023,82.09999847,156700,0,1
"22051027812","35380",22051027812,0,249,43788,7.980000019,88.22000122,3.319999933,33.54000092,7.110000134,53750,48750,62237,54.33000183,15.78999996,79.16999817,157300,0,1
"22051027901","35380",22051027901,0,182.8080902,32820.99947,85.58000183,1.809999943,5.5,11.5,5.539999962,43333,15956,42759,72.48999786,4.599999905,85.05000305,163300,0,1
"22051027902","35380",22051027902,0,191.1919098,32821.00051,98.80999756,0,0,16.85000038,5.440000057,46063,49940.7174925069,46063,72.41999817,7.389999866,81.41000366,153300,0,1
"22051028000","35380",22051028000,0,95.06118029,52465.42066,60.40999985,17.03000069,11.01000023,8.199999809,2.019999981,60920,61786,61543,49.68000031,14.5,87.12000275,170600,0,1
"22051028100","35380",22051028100,1,493.0539125,20658.72039,10.13000011,87.30999756,0.039999999,32.61000061,25.02000046,26121,25733,30962,66.01000214,7.21999979,44.25999832,119700,1,0
"22051028200","35380",22051028200,0,608,25173.65767,52.84000015,24.30999947,16.12000084,19.35000038,16.26000023,30473,25161,36302,67.58999634,5.329999924,61.09999847,110300,0,1
"22051980000","35380",22051980000,0,0.066395044,22853.00053,63.9243262863757,13.4047409142474,15.2274662776778,15.9567745723636,10.0264053793369,56639.9112417014,49940.7174925069,60451.1686363636,43.7038297014993,27.4603351596808,64.7856257224851,225209.682896467,0,1
"22071000100","35380",22071000100,0,595,38750,72.80999756,17.05999947,7.400000095,16.97999954,5.849999905,56806,46435,75417,27.38999939,48.15999985,54.93999863,255600,0,1
"22071000200","35380",22071000200,0,266,18646,11.01000023,79.37999725,8.220000267,19.38999939,12.47999954,28000,30764,9688,59.75999832,11.89999962,36.09999847,148300,0,1
"22071000300","35380",22071000300,0,284,13164,7.550000191,91.29000092,0.829999983,37.18000031,24.75,22619,23393,21250,71.66999817,6.670000076,38.99000168,99600,0,1
"22071000400","35380",22071000400,0,433,22028,12.31999969,82.73999786,1.179999948,22.70999908,11.31999969,33066,31935,44250,54.59999847,15.40999985,50.81000137,109400,0,1
"22071000601","35380",22071000601,0,445,5818,0,100,0,58,22.12999916,19457,19457,60451.1686363636,81.61000061,14.25,17.47999954,112500,0,1
"22071000602","35380",22071000602,0,354,23955,5.559999943,94.05999756,0.159999996,40.04000092,15.30000019,27083,27292,20625,53.77000046,10.05000019,60.95999908,98700,0,1
"22071000603","35380",22071000603,0,497.5984802,17175.99932,1.039999962,57.54999924,36.97999954,22.29999924,19.38999939,31974,25000,60451.1686363636,75.23000336,2.880000114,28.60000038,82300,0,1
"22071000604","35380",22071000604,0,1036.401502,27430.46888,9.289999962,84.29000092,4.230000019,21.79000092,11.96000004,39811,41629,37024,54.63999939,13.26000023,45.68000031,137800,0,1
"22071000605","35380",22071000605,1,442,29760,36.04000092,60.61999893,1.840000033,27.06999969,20.38999939,37569,36250,36250,51.16999817,12.17000008,56.36999893,103000,1,0
"22071000606","35380",22071000606,0,99,56760,37.04999924,49.43000031,7.019999981,19.23999977,8.550000191,56054,50052,64605,41.43000031,30.95000076,86.76000214,161000,0,1
"22071000607","35380",22071000607,0,111,58801,53.54999924,39.52000046,6.170000076,4.21999979,8.729999542,58783,82743,56305,22.05999947,48,91.87000275,176800,0,1
"22071000611","35380",22071000611,0,444,25714,0.319999993,76.56999969,8.840000153,27.45000076,13.5,37375,36391,60451.1686363636,65.33000183,8.920000076,58.45999908,109100,0,1
