cbsaname,cbsa,shapefile
"Port St. Lucie-Fort Pierce, FL",38940,port-st.-lucie-fort-pierce-fl-dorling-v2.geojson
"Portland-South Portland-Biddeford, ME",38860,portland-south-portland-biddeford-me-dorling-v2.geojson
"Portland-Vancouver-Beaverton, OR-WA",38900,portland-vancouver-beaverton-or-wa-dorling-v2.geojson
"Poughkeepsie-Newburgh-Middletown, NY",39100,poughkeepsie-newburgh-middletown-ny-dorling-v2.geojson
"Prescott, AZ",39140,prescott-az-dorling-v2.geojson
"Providence-New Bedford-Fall River, RI-M",39300,providence-new-bedford-fall-river-ri-m-dorling-v2.geojson
"Provo-Orem, UT",39340,provo-orem-ut-dorling-v2.geojson
"Pueblo, CO",39380,pueblo-co-dorling-v2.geojson
"Punta Gorda, FL",39460,punta-gorda-fl-dorling-v2.geojson
"Raleigh-Cary, NC",39580,raleigh-cary-nc-dorling-v2.geojson
"Rapid City, SD",39660,rapid-city-sd-dorling-v2.geojson
"Reading, PA",39740,reading-pa-dorling-v2.geojson
"Redding, CA",39820,redding-ca-dorling-v2.geojson
"Reno-Sparks, NV",39900,reno-sparks-nv-dorling-v2.geojson
"Richmond, VA",40060,richmond-va-dorling-v2.geojson
"Riverside-San Bernardino-Ontario, CA",40140,riverside-san-bernardino-ontario-ca-dorling-v2.geojson
"Rochester, MN",40340,rochester-mn-dorling-v2.geojson
"Rochester, NY",40380,rochester-ny-dorling-v2.geojson
"Rockford, IL",40420,rockford-il-dorling-v2.geojson
"Rockingham County, NH",40484,rockingham-county-nh-dorling-v2.geojson
"Rocky Mount, NC",40580,rocky-mount-nc-dorling-v2.geojson
"Rome, GA",40660,rome-ga-dorling-v2.geojson
"Sacramento--Arden-Arcade--Roseville, CA",40900,sacramento--arden-arcade--roseville-ca-dorling-v2.geojson
"Saginaw-Saginaw Township North, MI",40980,saginaw-saginaw-township-north-mi-dorling-v2.geojson
"Salem, OR",41420,salem-or-dorling-v2.geojson
"Salinas, CA",41500,salinas-ca-dorling-v2.geojson
"Salisbury, MD",41540,salisbury-md-dorling-v2.geojson
"Salt Lake City, UT",41620,salt-lake-city-ut-dorling-v2.geojson
"San Angelo, TX",41660,san-angelo-tx-dorling-v2.geojson
"San Antonio, TX",41700,san-antonio-tx-dorling-v2.geojson
"San Diego-Carlsbad-San Marcos, CA",41740,san-diego-carlsbad-san-marcos-ca-dorling-v2.geojson
"San Francisco-San Mateo-Redwood City,CA",41884,san-francisco-san-mateo-redwood-cityca-dorling-v2.geojson
"San Jose-Sunnyvale-Santa Clara, CA",41940,san-jose-sunnyvale-santa-clara-ca-dorling-v2.geojson
"San Luis Obispo-Paso Robles, CA",42020,san-luis-obispo-paso-robles-ca-dorling-v2.geojson
"Sandusky, OH",41780,sandusky-oh-dorling-v2.geojson
"Santa Ana-Anaheim-Irvine, CA",42044,santa-ana-anaheim-irvine-ca-dorling-v2.geojson
"Santa Barbara-Santa Maria-Goleta, CA",42060,santa-barbara-santa-maria-goleta-ca-dorling-v2.geojson
"Santa Cruz-Watsonville, CA",42100,santa-cruz-watsonville-ca-dorling-v2.geojson
"Santa Fe, NM",42140,santa-fe-nm-dorling-v2.geojson
"Santa Rosa-Petaluma, CA",42220,santa-rosa-petaluma-ca-dorling-v2.geojson
"Sarasota-Bradenton-Venice, FL",42260,sarasota-bradenton-venice-fl-dorling-v2.geojson
"Savannah, GA",42340,savannah-ga-dorling-v2.geojson
"Scranton--Wilkes-Barre, PA",42540,scranton--wilkes-barre-pa-dorling-v2.geojson
"Seattle-Bellevue-Everett, WA",42644,
"Sherman-Denison, TX",43300,sherman-denison-tx-dorling-v2.geojson
"Shreveport-Bossier City, LA",43340,shreveport-bossier-city-la-dorling-v2.geojson
"Sioux City, IA-NE-SD",43580,sioux-city-ia-ne-sd-dorling-v2.geojson
"Sioux Falls, SD",43620,sioux-falls-sd-dorling-v2.geojson
"South Bend-Mishawaka, IN-MI",43780,south-bend-mishawaka-in-mi-dorling-v2.geojson
"Spartanburg, SC",43900,spartanburg-sc-dorling-v2.geojson
"Springfield, IL",44100,springfield-il-dorling-v2.geojson
"Springfield, MA",44140,springfield-ma-dorling-v2.geojson
"Springfield, MO",44180,springfield-mo-dorling-v2.geojson
"Springfield, OH",44220,springfield-oh-dorling-v2.geojson
